WARN  - 2015-11-25 20:52:27.565; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.DoubleField]. Please consult documentation how to replace it accordingly.
WARN  - 2015-11-25 20:52:27.568; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.DateField]. Please consult documentation how to replace it accordingly.
WARN  - 2015-11-25 20:52:27.806; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.ThaiWordFilterFactory]. Please consult documentation how to replace it accordingly.
INFO  - 2015-11-25 20:52:27.831; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2015-11-25 20:52:27.841; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2015-11-25 20:52:27.842; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2015-11-25 20:52:27.906; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-11-25 20:52:27.910; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-11-25 20:52:27.985; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir C:\Software\solr-4.8.1\example\solr\collection1\
INFO  - 2015-11-25 20:52:28.001; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2015-11-25 20:52:28.007; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at C:\Software\solr-4.8.1\example\solr\collection1\, dataDir=C:\Software\solr-4.8.1\example\solr\collection1\data\
INFO  - 2015-11-25 20:52:28.008; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2015-11-25 20:52:28.012; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2015-11-25 20:52:28.012; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2015-11-25 20:52:28.023; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\Software\solr-4.8.1\example\solr\collection1\data
INFO  - 2015-11-25 20:52:28.024; org.apache.solr.core.SolrCore; New index directory detected: old=null new=C:\Software\solr-4.8.1\example\solr\collection1\data\index/
WARN  - 2015-11-25 20:52:28.025; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'C:\Software\solr-4.8.1\example\solr\collection1\data\index' doesn't exist. Creating new index...
INFO  - 2015-11-25 20:52:28.032; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\Software\solr-4.8.1\example\solr\collection1\data\index
INFO  - 2015-11-25 20:52:28.227; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(SimpleFSDirectory@C:\Software\solr-4.8.1\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\Software\solr-4.8.1\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-11-25 20:52:28.229; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-11-25 20:52:28.237; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2015-11-25 20:52:28.238; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2015-11-25 20:52:28.239; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2015-11-25 20:52:28.244; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2015-11-25 20:52:28.245; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2015-11-25 20:52:28.340; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-11-25 20:52:28.346; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2015-11-25 20:52:28.347; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2015-11-25 20:52:28.348; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2015-11-25 20:52:28.349; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2015-11-25 20:52:28.352; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2015-11-25 20:52:28.354; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2015-11-25 20:52:28.354; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2015-11-25 20:52:28.354; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2015-11-25 20:52:28.354; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2015-11-25 20:52:28.355; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2015-11-25 20:52:28.355; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2015-11-25 20:52:28.355; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2015-11-25 20:52:28.356; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2015-11-25 20:52:28.357; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2015-11-25 20:52:28.359; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2015-11-25 20:52:28.361; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2015-11-25 20:52:28.369; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2015-11-25 20:52:28.369; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-11-25 20:52:28.370; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2015-11-25 20:52:28.370; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-11-25 20:52:28.370; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2015-11-25 20:52:28.371; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-11-25 20:52:28.371; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2015-11-25 20:52:28.371; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-11-25 20:52:28.372; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2015-11-25 20:52:28.372; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-11-25 20:52:28.372; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2015-11-25 20:52:28.384; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-11-25 20:52:28.386; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-11-25 20:52:28.387; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-11-25 20:52:28.398; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2015-11-25 20:52:28.399; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2015-11-25 20:52:28.403; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(SimpleFSDirectory@C:\Software\solr-4.8.1\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\Software\solr-4.8.1\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-11-25 20:52:28.404; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-11-25 20:52:28.409; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@140e065[collection1] main
INFO  - 2015-11-25 20:52:28.417; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: C:\Software\solr-4.8.1\example\solr\collection1\conf
INFO  - 2015-11-25 20:52:28.417; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=C:\Software\solr-4.8.1\example\solr\collection1\conf\}
INFO  - 2015-11-25 20:52:28.419; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=C:\Software\solr-4.8.1\example\solr\collection1\conf
WARN  - 2015-11-25 20:52:28.419; org.apache.solr.rest.ManagedResource; No stored data found for /rest/managed
WARN  - 2015-11-25 20:52:28.420; org.apache.solr.rest.ManagedResource; No registered observers for /rest/managed
INFO  - 2015-11-25 20:52:28.420; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2015-11-25 20:52:28.421; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=C:\Software\solr-4.8.1\example\solr\collection1\conf
INFO  - 2015-11-25 20:52:28.426; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=C:\Software\solr-4.8.1\example\solr\collection1\conf
INFO  - 2015-11-25 20:52:28.426; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2015-11-25 20:52:28.427; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2015-11-25 20:52:28.427; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2015-11-25 20:52:28.428; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=C:\Software\solr-4.8.1\example\solr\collection1\conf
INFO  - 2015-11-25 20:52:28.428; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=C:\Software\solr-4.8.1\example\solr\collection1\conf
INFO  - 2015-11-25 20:52:28.428; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2015-11-25 20:52:28.429; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2015-11-25 20:52:28.431; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2015-11-25 20:52:28.431; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2015-11-25 20:52:28.437; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2015-11-25 20:52:28.442; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2015-11-25 20:52:28.443; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2015-11-25 20:52:28.445; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2015-11-25 20:52:28.457; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2015-11-25 20:52:28.460; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: C:\Software\solr-4.8.1\example\solr\collection1\conf\elevate.xml
INFO  - 2015-11-25 20:52:28.478; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2015-11-25 20:52:28.479; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@140e065[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2015-11-25 20:52:28.479; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2015-11-25 20:52:28.481; org.apache.solr.servlet.SolrDispatchFilter; user.dir=C:\Software\solr-4.8.1\example
INFO  - 2015-11-25 20:52:28.481; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
